stop_id;stop_code;stop_name;stop_lat;stop_lon;zone_id;alias;stop_area;stop_desc;lest_x;lest_y;zone_name;authority
24710;7820022-1;Autokeskus;58.35536632;26.71967153;24710;;Tartu linn;"FI suunas";6471542.00;659173.56;TartuLinn;Tartu LV
24711;7820023-1;Autokeskus;58.35511959;26.71700508;24711;;Tartu linn;"Ropkamõisa suunas";6471508.22;659018.70;TartuLinn;Tartu LV
24712;7820024-1;Betooni;58.38360817;26.69132453;24712;;Tartu linn;"Hiie tn. suunas";6474618.08;657389.22;TartuLinn;Tartu LV
24713;7820025-1;Betooni;58.38357822;26.69159083;24713;;Tartu linn;"Tuglase tn. suunas";6474615.37;657404.92;TartuLinn;Tartu LV
24714;7820026-1;Metsamaja;58.39357647;26.69114258;24714;;Tartu linn;"linnast väljuv";6475727.01;657334.06;TartuLinn;Tartu LV
24715;7820069-1;Kannikese;58.37677041;26.68359234;24715;;Tartu linn;"Viljandi mnt. suunas";6473839.00;656967.75;TartuLinn;Tartu LV
24716;7820032-1;E-Kaubamaja;58.35907121;26.73088987;24716;;Tartu linn;"Kesklinna suunas";6471980.98;659812.98;TartuLinn;Tartu LV
25972;7820262-1;Tamme kool;58.36402713;26.70658214;25972;;Tartu linn;"Riia tn. suunas";6472474.86;658368.98;TartuLinn;Tartu LV
24718;7820027-1;Eeden;58.37383298;26.75136132;24718;;Tartu linn;"Annelinna suunas";6473672.69;660942.89;TartuLinn;Tartu LV
24732;7820082-1;Kaubabaas;58.38569594;26.68057188;24732;;Tartu linn;"linnast väljuv";6474825.25;656751.45;TartuLinn;Tartu LV
24872;7820086-1;Kaunase puiestee;58.37154833;26.76651811;24872;;Tartu linn;"Jaama tn.suunas";6473454.92;661839.48;TartuLinn;Tartu LV
24880;7820095-1;Kivilinna;58.38002785;26.76387108;24880;;Tartu linn;"Kaunase pst. suunas";6474392.16;661645.82;TartuLinn;Tartu LV
24884;7820103-1;Kraavikalda;58.34666721;26.77393533;24884;;Tartu linn;"Kasteheina suunas";6470703.99;662387.71;TartuLinn;Tartu LV
24885;7820104-1;Kraavikalda;58.34712456;26.77329275;24885;;Tartu linn;"Kesklinna suunas";6470753.33;662348.01;TartuLinn;Tartu LV
24886;7820105-1;Kreutzwaldi;58.3856589;26.70055754;24886;;Tartu linn;"linna sisenev";6474868.00;657919.69;TartuLinn;Tartu LV
24887;7820106-1;Kreutzwaldi;58.38547154;26.7016431;24887;;Tartu linn;"linnast väljuv";6474849.71;657983.97;TartuLinn;Tartu LV
24888;7820107-1;Kroonuaia;58.38509848;26.71946706;24888;;Tartu linn;;6474850.31;659027.38;TartuLinn;Tartu LV
24889;7820108-1;Kruusamäe;58.39832495;26.72363666;24889;;Tartu linn;"Narva mnt. suunas";6476332.13;659211.27;TartuLinn;Tartu LV
24892;7820122-1;Lammi;58.35935535;26.77778613;24892;;Tartu linn;"Kasteheina suunas";6472125.29;662554.50;TartuLinn;Tartu LV
24893;7820123-1;Lammi;58.3595404;26.77785166;24893;;Tartu linn;"Annelinna suunas";6472146.04;662557.48;TartuLinn;Tartu LV
24894;7820125-1;Laululava;58.38919524;26.70470362;24894;;Tartu linn;"linnast väljuv";6475271.32;658146.13;TartuLinn;Tartu LV
24898;7820130-1;Ilmatsalu;58.37713453;26.68889876;24898;;Tartu linn;"Ravila tn. suunas";6473891.95;657276.34;TartuLinn;Tartu LV
25024;7820112-1;Kungla;58.36052133;26.71297705;25024;;Tartu linn;"Riia tn. suunas";6472099.82;658758.75;TartuLinn;Tartu LV
25025;7820113-1;Kuperjanovi;58.37595147;26.71043875;25025;;Tartu linn;"Kesklinna suunas";6473811.00;658540.87;TartuLinn;Tartu LV
25033;7820120-1;Külmhoone;58.36750857;26.71968342;25033;;Tartu linn;;6472893.30;659119.44;TartuLinn;Tartu LV
