stop_id;stop_name;latitude;longitude
26380;Rahumäe;58.37907527;26.77329165
26382;Raja;58.36176427;26.69149115
26383;Raua;58.36396104;26.73642701
26384;Raudtee I;58.35501632;26.70768839
26386;Raudtee II;58.35464445;26.70747193
26392;Nisu;58.37272134;26.68578763
26076;Ihaste;58.34493408;26.77937065
26394;Riia;58.36986857;26.71612224
26397;Riiamäe;58.37382781;26.72187409
26500;Pakla;58.34565984;26.49153749
26502;Vorbuse tee;58.39982657;26.68405381
25939;Vaba;58.36558986;26.73448717
26513;Salemi;58.36864837;26.73432864
26516;Aianduse;58.35033505;26.71773418
26518;Sepa turg;58.34979371;26.74113758
26521;Silla II;58.3687858;26.73627969
26524;Maaülikool;58.38730604;26.69653853
26529;Muru;58.39960631;26.71699995
26530;Muru;58.39986954;26.71687568
26533;Männimetsa;58.35311862;26.76651814
29139;Tüki;58.38844456;26.58220273
26669;Triigi;58.35498359;26.78887475
26680;Lõuna;58.37480653;26.69735258
119592;Luha;58.37223634;26.75361904
26848;Aiandi;58.39440348;26.7160297
26849;Aida;58.37323195;26.73683422
26852;Anne;58.37807643;26.75176816
26853;Anne;58.37711352;26.75074771
26854;Annelinna gümnaasium;58.37592598;26.77040002
26401;Risti;58.39187722;26.72209621
26856;Annemõisa;58.37675489;26.77791425
26388;Raudteejaam;58.37374151;26.70719702
26986;Õssu;58.36338368;26.64911008
26850;Alasi;58.34784648;26.71726794
24733;Kaubajaam;58.36972457;26.70744613
26239;Peetri kirik;58.38996052;26.72743991
24726;Eha;58.36981141;26.72779418
27317;Pihva;58.35396972;26.59720401
20389;Ilmatsalu kool;58.38770101;26.56224739
20181;Rahinge kool;58.38549327;26.61024278
24852;Kandiküla;58.37938107;26.6698653
20364;Rähni;58.41037018;26.63034183
28657;Mudaniku;58.41997223;26.57490011
26080;Ihaste tee II;58.36006973;26.75960196
28687;Ranna;58.35930016;26.64317157
28775;Tõnise;58.43469957;26.63180331
28856;Rähni;58.41041982;26.62962727
28857;Tiksoja;58.40833878;26.65381726
26070;Herne;58.38597247;26.71485573
26509;Prisma;58.37609415;26.77878983
142069;Raudteejaam;58.37394718;26.70686254
156823;Õssu;58.36344141;26.64898804
20307;Külasüda;58.42118798;26.66201498
33513;Ihaste tee I;58.36517863;26.75879689
29525;Rõhu;58.35064614;26.52603069
154124;Raatuse;58.38243802;26.73248488
29921;Tiksoja;58.40859138;26.65332355
26376;Raatuse;58.3823387;26.73229325
24734;Kesklinn VI;58.37690955;26.72650997
30312;Kärevere sild;58.42026602;26.51663012
30366;Muide;58.40533477;26.66991284
25008;Ilmatsalu;58.37675423;26.69035434
30782;Kärnise;58.45213142;26.57081736
30837;Muide;58.40540578;26.67038905
26888;Asusilla;58.35406646;26.55527011
30050;Asusilla;58.3540934;26.5530275
158082;Raudteejaam IV;58.37355618;26.70792716
34112;Tartu;58.37393011;26.70618453
31940;Aura veekeskus;58.37566974;26.73304577
26086;Kesk kaar;58.365848;26.70412703
136290;ERM;58.39506918;26.74116785
135023;Ilmatsalu kool;58.38765551;26.56205266
26082;Jaama;58.3839401;26.7403782
162180;Hiieküla;58.37302631;26.64302579
33521;Aardla;58.35445623;26.72105007
26089;Kalda tee;58.37208797;26.75966338
33385;Tartu bussijaam;58.37795531;26.73214188
33501;Annemõisa;58.37849016;26.77600422
33503;Kivilinna;58.38014812;26.76384935
26531;Männimetsa;58.35340275;26.76619969
33507;Tehnoloogiainstituut;58.36662066;26.69478854
33509;Rebase;58.36735879;26.74069184
33512;Ihaste tee I;58.36489916;26.75865715
33516;Aianduse;58.35133791;26.71874418
26211;Kanali;58.37669404;26.74457721
33522;Mõisapargi;58.40083131;26.72719428
34122;Kirsi;58.35750153;26.71539974
34123;Aardla;58.35771232;26.71457291
34153;Aardla;58.35786742;26.71488512
27316;Haage;58.35646922;26.6195337
34209;Kirsi;58.35737895;26.71524818
34210;Tartu;58.37379194;26.70613222
26210;Kanali;58.37584714;26.74589515
20421;Heinvaru;58.38048931;26.64251807
27394;Heinvaru;58.38031204;26.64305112
26512;Ropkamõisa;58.35583691;26.72892056
20278;Iie;58.45115805;26.59363159
20277;Iie;58.45116489;26.59395884
24897;Linda;58.3669492;26.72967524
20032;Ilmatsalu;58.38957294;26.55717868
26110;Tartu Maja II;58.38233737;26.68369743
33519;Vangla;58.34527076;26.74128384
26256;Vangla;58.34524603;26.74096552
24729;Kastani;58.36479389;26.72116859
24730;Kasteheina;58.34924006;26.7874891
24731;Kasteheina;58.34930632;26.78771897
157327;Lammimõisa;58.36637577;26.76810701
26511;Kesa;58.34859622;26.70417463
128643;Kesa;58.3485594;26.70489285
26274;Kandiküla;58.37921192;26.670649
33514;Killustiku;58.39786392;26.73332536
31432;Kummeli;58.40109437;26.7194218
157328;Lammimõisa;58.36723465;26.76864373
24707;Arhitekti;58.36817908;26.68276659
26241;Pepleri;58.37553002;26.71803519
25023;Kungla;58.36032883;26.71352127
26668;Triigi;58.35601529;26.78899164
155433;Tüve (Ihaste suunas);58.38442634;26.75680516
30313;Kardla tee;58.4136048;26.57706819
155418;Kvartsi;58.35183198;26.68813331
29137;Kardla tee;58.41355715;26.57887202
25937;Vallikraavi;58.37662124;26.71457354
26263;Viljandi maantee;58.36972984;26.69080566
26123;Turu;58.37802669;26.73371568
26370;Puiestee;58.38451818;26.74302861
162395;Puiestee;58.38404148;26.74409031
25026;Kuperjanovi;58.37598719;26.71031861
123047;Näituse;58.37893419;26.70846439
25472;Lõkketule;58.34641112;26.7835032
26670;Narvamäe;58.38888884;26.73051394
20423;Kardla kool;58.44586922;26.55822512
26121;Tuglase;58.38621298;26.69472782
31434;Kardla kool;58.44598308;26.55814755
26104;Tamme puiestee;58.35415032;26.69707063
26857;Annelinna keskus;58.36950908;26.76754256
26510;Ropkamõisa;58.35565418;26.7272105
26528;Mõisavahe;58.36936718;26.77535326
26072;Hiie;58.38294305;26.69658842
119583;Tehase;58.36143045;26.73392587
144359;Välja;58.40003844;26.71427334
25861;Kivisäki;58.42600244;26.65043857
25961;Taara pst.;58.38161617;26.70271302
161082;Klaose;58.40642847;26.7029425
33506;Nõlvaku;58.37220599;26.78019005
122418;Optika;58.35607767;26.67289602
122419;Optika;58.35563171;26.67391432
122429;Kraavi;58.35377665;26.70820357
135328;Viadukti;58.35631661;26.76477083
28919;Kärevere sild;58.42011701;26.51549199
28807;Külasüda;58.42098733;26.66217038
28656;Mudaniku;58.419954;26.57469006
122997;Soola;58.37746185;26.73019788
123048;Taara pst.;58.38140782;26.70354451
135331;Lammi ring;58.36172417;26.77141202
21953;Rõhu;58.35047636;26.52371441
24719;Eeden;58.3738068;26.75234171
158865;Viljandi maantee;58.36972016;26.69100308
26501;Pakla;58.34591694;26.4942418
158081;Raudteejaam III;58.37349997;26.70790364
25029;Kuu;58.36657642;26.73624755
125609;Zoomeedikum;58.39325073;26.68740296
21771;Paju;58.38003224;26.65480175
125875;Haagejärve;58.34825201;26.60990106
24592;Paju;58.37986536;26.65550218
24709;Atlantis;58.38122787;26.72889607
30049;Peedimäe;58.35491711;26.57286916
149437;Ropka tee;58.35487589;26.74068989
128368;Võru ring;58.34458112;26.71540407
29914;Pihva;58.35373667;26.60158522
128369;Ringtee II;58.34238583;26.71589623
128372;Jalaka;58.34315404;26.72352802
128373;Jalaka;58.34284309;26.72381576
128374;Tähe;58.34306723;26.72953189
128375;Tähe;58.34275898;26.73020083
144371;Vabadussild;58.38336625;26.7236519
24895;Lembitu;58.36929245;26.71073809
128646;Kraavi;58.35350153;26.7075046
26377;Raeplats;58.38113972;26.72480574
128668;Raudteejaam;58.37401262;26.70674249
